id_marca	Nombre	id_almacen_logico	Planta	pasillo	columna	fila
2	AIDER	1	1	1	1	0
3	ALADINO	1	2	1	1	0
4	ALLOS	1	1	9	6	0
5	A.BORLIND	1	2	1	1	0
6	ANNIE LAGA.	2	1	1	1	0
7	ANTICA SAPONERIA	1	2	1	1	0
9	ARCIALGAS	1	0	0	0	0
10	BELSI	1	1	2	1	0
11	BEZOYA	1	1	1	2	0
12	TANTE HELENE	2	1	1	1	0
13	GAP	1	2	1	3	0
14	BIOPRIMO	1	9	1	1	0
15	BIOSPIRIT	1	0	0	0	0
16	BONSOY	1	1	9	2	0
17	BRUINHART	1	1	1	5	0
18	GRANELES	1	1	10	2	0
19	BURGER	1	1	4	6	0
22	CA„ADA HONDA	1	1	8	6	0
23	CARDELLE	1	1	4	5	0
24	CASA PAREJA	1	1	4	5	0
25	COTEAUX NANTAIS	1	1	9	1	0
27	CORN CANDIES	1	1	9	3	0
28	DANIVAL	1	1	9	4	0
29	DINKELLAND	1	1	9	3	0
30	DIPAM	1	1	8	1	0
31	ECOLINO	1	1	8	2	0
32	EVERFRESH	1	1	9	6	0
34	GEROCI	1	1	2	4	0
35	GIOVANNI	1	1	2	4	0
37	GUAYAPI TROPICAL	1	2	1	1	0
39	HOME NATURE	1	0	0	0	0
40	HOOIDAMMER	2	1	1	0	0
41	EKOLAND	1	0	0	0	0
42	HORIZON	1	1	2	2	0
43	IMAGINE FOODS	1	1	4	5	0
44	INTRAGMA	1	1	1	3	0
45	JOANNUSMOLEN	1	1	2	4	0
46	JORI	1	1	4	1	0
47	KRAUTBOY	2	1	1	1	0
48	LA BERGERIE	2	1	1	1	0
49	LA BIOIDEA	1	1	9	7	0
50	LA VEGA DE ZAGRILLA	1	0	0	0	0
51	OLASAGASTI	1	1	7	1	0
52	LES FROMAGES	2	1	1	1	0
54	LUZ DE VIDA	1	1	2	3	0
55	MACHANDEL	1	1	9	5	0
57	MONKI	1	1	4	1	0
58	MUSO	1	1	9	2	0
